#{"t_start": 1765725402.6071446, "env_id": "Reacher-v5"}
r,l,t
-2.540264,50,500.522706
-3.411761,50,501.384225
-2.403816,50,502.508902
-2.048583,50,503.470116
-2.297191,50,504.395452
-2.653653,50,505.253783
-1.406664,50,506.163272
-2.893385,50,507.489938
-1.137388,50,508.414955
-1.873866,50,509.442925
-1.785356,50,510.338842
-1.561492,50,511.288699
-1.938605,50,512.51597
-1.94133,50,513.495487
-1.957535,50,514.395082
-1.349115,50,515.358067
-1.669628,50,516.511904
-1.553412,50,517.63189
-2.909954,50,518.593876
-1.991915,50,519.677031
-2.310235,50,520.569418
-1.473618,50,521.514172
-1.630221,50,522.667526
-2.260588,50,523.668375
-1.969082,50,524.616327
-2.934921,50,525.724012
-2.41369,50,526.719976
-1.70178,50,527.946786
-1.791181,50,529.035485
-2.082766,50,530.019641
-1.491643,50,531.026681
-1.963951,50,532.223683
-1.795558,50,533.500391
-1.590716,50,534.525888
-2.312948,50,535.58682
-2.377423,50,536.685506
-1.79259,50,538.092019
-2.260426,50,539.622498
-0.984754,50,540.783218
-2.370168,50,542.700878
-1.458301,50,543.696305
-2.2643,50,544.688177
-2.329123,50,545.560899
-1.57672,50,546.443377
-2.05636,50,547.936573
-1.351225,50,549.95444
-1.056319,50,551.90164
-2.932751,50,554.070309
-2.802714,50,555.138775
-1.975831,50,556.477595
-1.614422,50,557.422347
-2.247601,50,558.459152
-1.463555,50,559.354345
-1.389095,50,560.438798
-1.607545,50,561.394129
-1.115297,50,563.574871
-1.930847,50,565.133654
-1.340777,50,567.367835
-2.226024,50,568.861027
-1.306718,50,570.323009
-2.687749,50,571.595144
-2.715452,50,572.850224
-2.041883,50,573.908837
-2.166926,50,575.244435
-2.054945,50,577.191893
-2.603915,50,578.109777
-3.151817,50,579.358205
-1.861943,50,581.636723
-3.956873,50,582.585217
-1.636525,50,583.732833
-2.222611,50,584.69615
-1.684528,50,586.233931
-2.265325,50,587.208246
-2.047753,50,588.065221
-1.67568,50,588.936296
-1.919038,50,590.036631
-1.374835,50,590.979528
-2.389192,50,591.795856
-1.838873,50,592.854842
-2.221206,50,593.761976
-1.525631,50,594.792493
-1.393721,50,595.767569
-2.424489,50,597.786053
-1.841084,50,599.591174
-1.583441,50,600.660084
-1.461712,50,601.605205
-1.430651,50,602.578552
-1.37296,50,603.565399
-2.586954,50,604.540383
-1.650933,50,605.527045
-1.070157,50,606.514403
-2.145685,50,607.611443
-2.219179,50,608.720567
-2.150843,50,609.741406
-2.27042,50,611.250148
-1.617523,50,612.334178
-1.34171,50,613.425349
-1.559975,50,614.992685
-1.635816,50,616.299691
-2.022647,50,617.296029
-1.68816,50,618.374445
-1.305214,50,619.541029
-1.678939,50,621.229395
-2.359519,50,623.030267
-1.517109,50,624.192506
-1.700073,50,625.272385
-1.796623,50,626.175266
-2.177497,50,627.10432
-1.432563,50,627.947888
-1.313425,50,628.88192
-2.48472,50,629.715039
-1.367923,50,630.62407
-1.279831,50,631.977753
-1.30193,50,633.11485
-1.272891,50,634.791651
-2.157458,50,636.468441
-1.656488,50,637.606133
-2.674647,50,638.862338
-1.565185,50,640.487201
-2.412321,50,642.23669
-1.33384,50,643.452767
-1.514175,50,644.670101
-1.800574,50,645.947776
-2.728833,50,647.126942
-2.110715,50,648.214422
-2.108885,50,649.311396
-1.582613,50,650.358503
-2.238655,50,651.328077
-2.702774,50,653.039105
-2.038218,50,654.823385
-1.631504,50,657.049149
-1.124887,50,658.61344
-1.274389,50,659.746518
-1.570027,50,661.758312
-1.276434,50,663.758537
-2.114428,50,666.639508
-1.09918,50,667.888639
-2.753927,50,668.989016
-2.242606,50,670.337655
-2.007694,50,672.361594
-2.111797,50,673.749078
-2.251273,50,680.118289
-1.867134,50,684.492776
-1.415925,50,685.970008
