#{"t_start": 1765929090.221403, "env_id": "Reacher-v5"}
r,l,t
293.263117,50,45.83178
125.15977,50,45.969623
219.625767,50,46.111715
261.073071,50,46.258562
74.765459,50,46.399592
110.080119,50,46.538515
151.964031,50,46.679724
185.551719,50,46.822379
241.699904,50,46.96816
0.236139,50,47.096757
113.462495,50,47.225322
108.243809,50,47.357115
112.55261,50,47.485765
121.001419,50,47.613786
55.70052,50,47.741738
192.35622,50,47.872312
67.081185,50,47.999841
228.51066,50,48.126904
325.775849,50,48.254704
73.289786,50,48.384071
179.907271,50,48.51679
169.8754,50,48.645251
272.64848,50,48.773825
205.488459,50,48.904562
28.236576,50,49.03297
44.08596,50,49.160746
136.764675,50,49.288954
221.658306,50,49.419515
103.566028,50,49.548487
123.403242,50,49.686321
96.306405,50,49.828959
105.234158,50,49.971209
130.779715,50,50.10803
193.625624,50,50.247259
182.688904,50,50.391772
129.030519,50,50.538982
196.259431,50,50.685568
155.659519,50,50.831835
195.566696,50,50.965358
242.601293,50,51.104715
278.124232,50,51.233439
50.208399,50,51.364334
160.172436,50,51.494208
90.472343,50,51.623562
89.050795,50,51.756089
326.559208,50,51.89382
222.259901,50,52.031525
19.884059,50,52.171276
253.844289,50,52.315924
205.453142,50,52.456745
249.956459,50,52.596369
218.353803,50,52.734735
191.701322,50,52.869893
150.500347,50,52.997582
60.388821,50,53.124917
143.000804,50,53.253823
250.828603,50,53.380925
138.447173,50,53.508697
313.538701,50,53.643751
119.103308,50,53.785066
94.2588,50,53.921618
89.101227,50,54.049593
333.90343,50,54.177314
226.167468,50,54.305995
124.549115,50,54.4406
31.580127,50,54.579205
22.060964,50,54.719039
93.204461,50,54.860559
253.63057,50,54.999205
236.671027,50,55.135603
139.810392,50,55.276104
118.659275,50,55.405506
347.417374,50,55.532787
185.345264,50,55.659611
117.555033,50,55.786394
260.031552,50,55.914577
154.754941,50,56.041264
147.071563,50,56.16846
203.840254,50,56.30057
103.969586,50,56.445656
90.597953,50,56.582936
59.16411,50,56.711557
85.817808,50,56.839654
209.911732,50,56.981361
305.131577,50,57.120867
272.549567,50,57.260206
104.567368,50,57.398263
203.520605,50,57.53683
149.983273,50,57.665805
102.684528,50,57.79455
121.876559,50,57.923197
184.775347,50,58.060644
327.372588,50,58.199372
208.817162,50,58.330037
152.077575,50,58.469775
364.916585,50,58.60869
337.117956,50,58.739175
173.057868,50,58.869061
308.676848,50,58.998985
212.060184,50,59.148824
334.242455,50,59.294406
162.712124,50,59.438435
145.316019,50,59.581572
326.16935,50,59.725803
193.651436,50,59.864005
120.633819,50,60.005657
155.151686,50,60.145769
183.999233,50,60.284307
274.33086,50,60.424782
90.762046,50,60.562051
353.38979,50,60.699004
256.522336,50,60.839786
223.994775,50,60.976518
40.548886,50,61.110586
330.165675,50,61.26281
72.453888,50,61.40617
297.928566,50,61.545191
332.084304,50,61.682529
367.21684,50,61.811655
138.086876,50,61.942478
142.268648,50,62.070292
236.319496,50,62.197601
128.168041,50,62.324904
168.852992,50,62.455439
227.736183,50,62.583459
256.991152,50,62.710822
198.37841,50,62.838215
298.522198,50,62.967793
158.92986,50,63.095661
106.601432,50,63.222908
154.32264,50,63.350281
146.213866,50,63.480044
200.9326,50,63.607825
74.704985,50,63.735694
332.053485,50,63.870283
50.201419,50,64.010443
309.120402,50,64.148719
106.123226,50,64.283253
163.012445,50,64.416774
132.399187,50,64.547724
127.601743,50,64.675499
275.833548,50,64.802691
94.512811,50,64.929689
207.890569,50,65.059756
111.186944,50,65.18693
223.496733,50,65.314036
144.131314,50,65.441322
142.643144,50,65.57145
303.616892,50,65.698729
40.630969,50,65.826119
218.058408,50,65.953571
102.263154,50,66.082272
268.135192,50,66.209092
342.174742,50,66.336162
219.292846,50,66.463881
236.901778,50,66.59397
